OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA,SiteEnergyUse(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),UsageType
619,2016,Nonresidential COS,Other,DOWNTOWN,1906,1.0,3,67755,0,67755,"Data Center, Office, Other, Other - Entertainment/Public Assembly",Other,19705.0,11988.0,1904480.0,0.0,1904480.0,0.0,Multi_usage
620,2016,NonResidential,Mixed Use Property,GREATER_DUWAMISH,1910,1.0,3,56700,0,56700,"Distribution Center, Non-Refrigerated Warehouse, Office",Office,18050.0,12400.0,2371575.0,0.0,2045416.0,326159.0,Multi_usage
621,2016,NonResidential,Warehouse,GREATER_DUWAMISH,1922,1.0,1,82852,0,82852,"Non-Refrigerated Warehouse, Retail Store",Non-Refrigerated Warehouse,23282.0,,2153603.5,0.0,1058065.0,1095539.0,Multi_usage
622,2016,NonResidential,Other,GREATER_DUWAMISH,1953,1.0,2,76442,0,76442,"Distribution Center, Office, Other",Other,18000.0,7604.0,3978277.0,0.0,1705403.0,2272874.0,Multi_usage
623,2016,NonResidential,Distribution Center,GREATER_DUWAMISH,1962,1.0,2,92792,0,92792,"Distribution Center, Office",Distribution Center,13435.0,,3155496.0,0.0,2024573.0,1130923.0,Multi_usage
624,2016,NonResidential,Other,GREATER_DUWAMISH,1941,2.0,2,125519,0,125519,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,,,2244317.0,0.0,2244317.0,0.0,Mono_usage
625,2016,NonResidential,Large Office,GREATER_DUWAMISH,1900,1.0,4,129000,25800,103200,Office,Office,,,4374646.0,0.0,4374645.0,0.0,Mono_usage
626,2016,NonResidential,Warehouse,GREATER_DUWAMISH,1954,1.0,1,78814,0,78814,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,,,861972.875,0.0,635127.0,226846.0,Mono_usage
627,2016,NonResidential,Small- and Mid-Sized Office,GREATER_DUWAMISH,1904,1.0,4,58970,0,58970,"Multifamily Housing, Non-Refrigerated Warehouse, Office, Parking",Office,11600.0,7000.0,1776411.75,0.0,1152375.0,624037.0,Multi_usage
628,2016,NonResidential,Distribution Center,GREATER_DUWAMISH,1910,1.0,6,75600,10800,64800,"Distribution Center, Office, Parking",Distribution Center,10500.0,6000.0,2688675.75,0.0,2688675.0,0.0,Multi_usage
629,2016,NonResidential,Distribution Center,GREATER_DUWAMISH,1907,1.0,4,56270,0,56270,"Distribution Center, Non-Refrigerated Warehouse, Office, Retail Store",Distribution Center,9270.0,4116.0,1056782.125,0.0,1056782.0,0.0,Multi_usage
630,2016,NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1904,1.0,4,66842,0,66842,"Office, Retail Store",Office,10514.0,,5608600.5,0.0,3457540.0,2151060.0,Multi_usage
632,2016,NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1909,1.0,6,75288,10800,64488,"Office, Parking",Office,10918.0,,2891605.0,0.0,2891229.0,376.0,Multi_usage
633,2016,NonResidential,Large Office,DOWNTOWN,1904,1.0,7,184322,0,184322,"Data Center, Office",Office,406.0,,9722890.0,0.0,9722889.0,0.0,Multi_usage
634,2016,NonResidential,Large Office,DOWNTOWN,2009,1.0,7,287853,0,287853,"Office, Retail Store",Office,12102.0,,25567108.0,0.0,25482582.0,84524.0,Multi_usage
635,2016,NonResidential,Small- and Mid-Sized Office,GREATER_DUWAMISH,1914,1.0,2,64512,0,64512,Office,Office,,,5968153.5,0.0,2952139.0,3016015.0,Mono_usage
637,2016,NonResidential,Mixed Use Property,GREATER_DUWAMISH,2009,1.0,6,286000,111774,174226,"Distribution Center, Office, Other, Other - Recreation, Parking",Parking,108747.0,49271.0,63835192.0,0.0,63822136.0,13053.0,Multi_usage
638,2016,NonResidential,Warehouse,GREATER_DUWAMISH,1926,1.0,7,144050,0,144050,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,,,3929371.0,0.0,2389825.0,1539546.0,Mono_usage
639,2016,NonResidential,Small- and Mid-Sized Office,GREATER_DUWAMISH,1930,1.0,3,60592,0,60592,Office,Office,,,5049446.5,0.0,4788414.0,261032.0,Mono_usage
640,2016,NonResidential,Large Office,GREATER_DUWAMISH,1912,0.0,6,1380959,0,1380959,"Non-Refrigerated Warehouse, Office, Retail Store",Office,281296.0,220303.0,74130576.0,0.0,67760546.0,6370020.0,Multi_usage
641,2016,NonResidential,Retail Store,GREATER_DUWAMISH,1993,1.0,1,107930,0,107930,Retail Store,Retail Store,,,7221482.5,0.0,6136093.0,1085388.0,Mono_usage
642,2016,NonResidential,Warehouse,GREATER_DUWAMISH,1926,1.0,1,99084,0,99084,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,,,1618110.375,0.0,795088.0,823022.0,Mono_usage
647,2016,NonResidential,Distribution Center,DELRIDGE,1953,1.0,1,72719,0,72719,Distribution Center,Distribution Center,,,2581741.75,0.0,2045435.0,536307.0,Mono_usage
649,2016,NonResidential,Small- and Mid-Sized Office,EAST,1930,0.0,4,76624,0,76624,Office,Office,,,2773647.5,0.0,2468547.0,305100.0,Mono_usage
650,2016,NonResidential,Small- and Mid-Sized Office,NORTHEAST,2001,1.0,6,91706,36583,55123,"Office, Other, Parking",Office,34701.0,3724.0,8570571.0,0.0,8570570.0,0.0,Multi_usage
651,2016,NonResidential,Medical Office,LAKE_UNION,2008,1.0,5,129093,39902,89191,"Medical Office, Other, Parking",Medical Office,37652.0,5615.0,19248732.0,0.0,11800324.0,7448407.0,Multi_usage
652,2016,NonResidential,Large Office,DELRIDGE,1991,1.0,5,138106,16221,121885,"Office, Parking",Office,16221.0,,8381834.5,0.0,8381833.0,0.0,Multi_usage
654,2016,NonResidential,Retail Store,GREATER_DUWAMISH,1973,1.0,1,56572,0,56572,Retail Store,Retail Store,,,2409429.0,0.0,1315085.0,1094344.0,Mono_usage
656,2016,NonResidential,Medical Office,EAST,2004,1.0,0,225982,0,225982,Medical Office,Medical Office,,,20560622.0,7815663.0,12744957.0,0.0,Mono_usage
658,2016,NonResidential,Large Office,DOWNTOWN,2000,1.0,11,312512,0,312512,"Data Center, Office, Restaurant",Office,4738.0,4462.0,25747022.0,0.0,25619164.0,127855.0,Multi_usage
659,2016,NonResidential,Large Office,DOWNTOWN,2005,1.0,42,1592914,0,1592914,"Data Center, Financial Office, Office, Parking, Restaurant",Office,348788.0,303910.0,56498868.0,986403.1875,55123924.0,388532.0,Multi_usage
660,2016,NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1926,1.0,6,97720,0,97720,"Data Center, Office, Retail Store",Office,11999.0,9713.0,2478025.25,0.0,2478025.0,0.0,Multi_usage
661,2016,NonResidential,Medical Office,EAST,1985,1.0,10,422503,206580,215923,Medical Office,Medical Office,,,17254810.0,994154.3125,16260654.0,0.0,Mono_usage
671,2016,NonResidential,Medical Office,CENTRAL,1987,1.0,7,94500,0,94500,Medical Office,Medical Office,,,5792926.0,0.0,5792925.0,0.0,Mono_usage
673,2016,NonResidential,Retail Store,DELRIDGE,2005,0.0,1,94713,0,94713,Retail Store,Retail Store,,,5417598.0,0.0,4182901.0,1234697.0,Mono_usage
674,2016,NonResidential,Medical Office,EAST,2008,1.0,9,302902,101342,201560,"Medical Office, Parking",Medical Office,86270.0,,14751117.0,0.0,14155468.0,595647.0,Multi_usage
677,2016,NonResidential,Medical Office,EAST,1973,1.0,19,319911,156407,163504,"Medical Office, Parking",Medical Office,69171.0,,15067340.0,3593940.25,11473398.0,0.0,Multi_usage
678,2016,NonResidential,Large Office,DOWNTOWN,1900,1.0,6,205521,0,205521,"Office, Retail Store",Office,28643.0,,8138616.5,2068666.75,4325997.0,1743952.0,Multi_usage
679,2016,NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1900,1.0,6,56700,0,56700,"Office, Retail Store",Office,10500.0,,3065954.5,0.0,3065954.0,0.0,Multi_usage
680,2016,NonResidential,Small- and Mid-Sized Office,GREATER_DUWAMISH,1925,1.0,4,72000,0,72000,Office,Office,,,2729167.75,0.0,2632591.0,96576.0,Mono_usage
681,2016,NonResidential,Large Office,MAGNOLIA_QUEENANNE,2000,1.0,4,191146,94892,96254,"Office, Parking",Office,80000.0,,5101504.5,0.0,5101504.0,0.0,Multi_usage
682,2016,NonResidential,Other,DELRIDGE,2001,1.0,3,68763,11527,57236,"Other - Recreation, Parking, Swimming Pool",Other - Recreation,11527.0,0.0,9029489.0,0.0,3670762.0,5358726.0,Multi_usage
683,2016,NonResidential,Other,SOUTHEAST,1994,3.0,1,102133,0,102133,"Parking, Strip Mall",Strip Mall,0.0,,20725996.0,0.0,12356956.0,8369038.0,Multi_usage
685,2016,NonResidential,Large Office,DOWNTOWN,2008,1.0,14,362046,0,362046,"Office, Other, Parking",Office,97874.0,3534.0,15725581.0,0.0,15566951.0,158627.0,Multi_usage
689,2016,NonResidential,Other,MAGNOLIA_QUEENANNE,1994,3.0,2,81336,0,81336,Lifestyle Center,Lifestyle Center,,,13085297.0,0.0,9206777.0,3878519.0,Mono_usage
690,2016,NonResidential,Large Office,DOWNTOWN,2001,1.0,23,538933,0,538933,"Office, Parking",Office,122821.0,,16020642.0,0.0,16020640.0,0.0,Multi_usage
692,2016,NonResidential,Other,DOWNTOWN,1983,1.0,6,275982,197130,78852,"Office, Parking",Parking,78852.0,,5233553.5,0.0,5233553.0,0.0,Multi_usage
693,2016,NonResidential,Small- and Mid-Sized Office,MAGNOLIA_QUEENANNE,1982,1.0,5,98668,0,98668,Office,Office,,,4391348.0,0.0,4391348.0,0.0,Mono_usage
694,2016,NonResidential,Large Office,GREATER_DUWAMISH,2007,1.0,1,158931,28381,130550,"Multifamily Housing, Non-Refrigerated Warehouse, Office, Parking",Office,34302.0,26937.0,8751704.0,0.0,7938248.0,813455.0,Multi_usage
696,2016,NonResidential,Large Office,MAGNOLIA_QUEENANNE,1978,1.0,1,105100,0,105100,Office,Office,,,22078064.0,0.0,17657706.0,4420357.0,Mono_usage
700,2016,NonResidential,Supermarket / Grocery Store,MAGNOLIA_QUEENANNE,2008,1.0,1,57176,0,57176,"Personal Services (Health/Beauty, Dry Cleaning, etc), Retail Store, Supermarket/Grocery Store",Supermarket/Grocery Store,15000.0,5500.0,12525174.0,0.0,0.0,0.0,Multi_usage
701,2016,NonResidential,Retail Store,MAGNOLIA_QUEENANNE,1978,1.0,1,50660,0,50660,Retail Store,Retail Store,,,2661488.0,0.0,1747974.0,913514.0,Mono_usage
702,2016,NonResidential,Small- and Mid-Sized Office,MAGNOLIA_QUEENANNE,1937,1.0,2,61929,0,61929,Office,Office,,,2203026.5,0.0,1328054.0,874972.0,Mono_usage
703,2016,NonResidential,Large Office,MAGNOLIA_QUEENANNE,2000,1.0,4,165111,55000,110111,"Data Center, Office, Parking",Office,55000.0,5444.0,25478086.0,0.0,25478083.0,0.0,Multi_usage
19755,2016,NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1925,1.0,3,20565,0,20565,Office,Office,,,802312.5,0.0,802312.0,0.0,Mono_usage
705,2016,NonResidential,Large Office,MAGNOLIA_QUEENANNE,2000,1.0,5,159937,55971,103966,"Office, Parking",Office,50258.0,,7857972.5,0.0,7857972.0,0.0,Multi_usage
706,2016,NonResidential,Large Office,MAGNOLIA_QUEENANNE,2008,1.0,5,183964,46763,137201,"Data Center, Office, Parking",Office,46763.0,3750.0,14856199.0,0.0,14856198.0,0.0,Multi_usage
707,2016,NonResidential,Large Office,MAGNOLIA_QUEENANNE,1986,1.0,5,208210,78848,129362,"Office, Parking",Office,78848.0,,5514308.5,0.0,3817281.0,1697027.0,Multi_usage
708,2016,NonResidential,Large Office,DOWNTOWN,1986,1.0,7,277486,80283,197203,"Office, Other, Parking",Office,87624.0,14653.0,12729858.0,0.0,12729856.0,0.0,Multi_usage
709,2016,NonResidential,Large Office,DOWNTOWN,1993,1.0,3,187130,0,187130,"Non-Refrigerated Warehouse, Office, Other, Other - Recreation, Other - Services, Restaurant",Office,9581.0,4413.0,10053489.0,0.0,10053488.0,0.0,Multi_usage
710,2016,NonResidential,Large Office,DOWNTOWN,2000,1.0,5,251044,117867,133177,"Data Center, Office",Office,12717.0,,17186624.0,0.0,17186623.0,0.0,Multi_usage
711,2016,NonResidential,Warehouse,DOWNTOWN,1912,1.0,5,154330,0,154330,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,,,1262235.25,0.0,1262235.0,0.0,Mono_usage
712,2016,NonResidential,Large Office,DOWNTOWN,1918,1.0,6,108245,14690,93555,"Adult Education, Fitness Center/Health Club/Gym, Office, Other - Restaurant/Bar, Parking, Retail Store",Office,14621.0,12359.0,4515180.5,266262.0,4248918.0,0.0,Multi_usage
713,2016,NonResidential,Large Office,DOWNTOWN,1905,1.0,6,167860,0,167860,"Data Center, Office, Retail Store",Office,19801.0,634.0,6797647.0,0.0,6797646.0,0.0,Multi_usage
715,2016,NonResidential,Large Office,DOWNTOWN,1910,1.0,6,112560,0,112560,"Office, Retail Store",Office,16080.0,,4946798.5,0.0,3574020.0,1372778.0,Multi_usage
716,2016,NonResidential,Retail Store,DOWNTOWN,1910,1.0,6,86204,0,86204,Retail Store,Other,13534.0,,3241917.0,0.0,2235899.0,1006018.0,Multi_usage
717,2016,Nonresidential COS,Warehouse,GREATER_DUWAMISH,1985,1.0,2,145158,0,145158,"Non-Refrigerated Warehouse, Office, Other",Non-Refrigerated Warehouse,48544.0,10270.0,8384523.0,0.0,7062138.0,1322385.0,Multi_usage
718,2016,NonResidential,Large Office,GREATER_DUWAMISH,1951,1.0,2,112896,0,112896,"Office, Parking",Office,57500.0,,10287986.0,0.0,8429189.0,1858797.0,Multi_usage
719,2016,NonResidential,Distribution Center,GREATER_DUWAMISH,1960,1.0,1,110613,0,110613,"Distribution Center, Office",Distribution Center,11061.0,,1015060.188,0.0,1015060.0,0.0,Multi_usage
720,2016,NonResidential,Warehouse,GREATER_DUWAMISH,1951,1.0,4,149881,0,149881,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,30288.0,,2417401.25,0.0,705059.0,1712342.0,Multi_usage
722,2016,NonResidential,Warehouse,GREATER_DUWAMISH,1951,1.0,3,98220,0,98220,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,,,6468090.0,0.0,5813591.0,654498.0,Mono_usage
723,2016,NonResidential,Distribution Center,GREATER_DUWAMISH,1970,1.0,1,84420,0,84420,"Distribution Center, Office, Retail Store",Distribution Center,24838.0,12349.0,2848317.25,0.0,2848317.0,0.0,Multi_usage
725,2016,NonResidential,Distribution Center,GREATER_DUWAMISH,1961,1.0,1,73335,0,73335,"Distribution Center, Parking",Distribution Center,0.0,,5197118.0,0.0,2606839.0,2590279.0,Multi_usage
727,2016,NonResidential,Distribution Center,GREATER_DUWAMISH,1928,1.0,2,56876,0,56876,"Distribution Center, Office, Retail Store",Distribution Center,4276.0,4200.0,1791715.625,0.0,1011283.0,780432.0,Multi_usage
728,2016,NonResidential,Warehouse,GREATER_DUWAMISH,1931,1.0,2,61200,0,61200,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,,,4912143.0,0.0,1782902.0,3129241.0,Mono_usage
729,2016,NonResidential,Distribution Center,GREATER_DUWAMISH,1987,1.0,1,111908,0,111908,Distribution Center,Distribution Center,,,1555420.25,0.0,1050508.0,504912.0,Mono_usage
730,2016,NonResidential,Other,GREATER_DUWAMISH,1986,3.0,2,63644,0,63644,"Other - Public Services, Parking",Other - Public Services,0.0,,6858533.5,0.0,4242711.0,2615822.0,Multi_usage
732,2016,NonResidential,Supermarket / Grocery Store,NORTHWEST,1970,1.0,1,141890,35545,106345,"Parking, Supermarket/Grocery Store",Supermarket/Grocery Store,0.0,0.0,16865978.0,0.0,13051820.0,3814156.0,Multi_usage
734,2016,NonResidential,Small- and Mid-Sized Office,BALLARD,2001,1.0,4,92092,21055,71037,Office,Office,,,4817062.0,0.0,4817062.0,0.0,Mono_usage
735,2016,NonResidential,Warehouse,MAGNOLIA_QUEENANNE,1974,0.0,3,56259,0,56259,"Non-Refrigerated Warehouse, Office, Retail Store",Non-Refrigerated Warehouse,20962.0,3715.0,2346571.5,0.0,817697.0,1528874.0,Multi_usage
738,2016,NonResidential,Other,NORTHEAST,2006,1.0,6,143439,0,143439,"Other, Parking",Other,23869.0,,25631512.0,0.0,14100771.0,11530741.0,Multi_usage
739,2016,NonResidential,Large Office,LAKE_UNION,2008,1.0,4,202623,88855,113768,"Fitness Center/Health Club/Gym, Office, Parking",Office,31992.0,6374.0,8873485.0,0.0,8873484.0,0.0,Multi_usage
740,2016,NonResidential,Small- and Mid-Sized Office,LAKE_UNION,2000,1.0,2,77174,25800,51374,Office,Office,,,5481549.0,0.0,5481548.0,0.0,Mono_usage
741,2016,NonResidential,Large Office,MAGNOLIA_QUEENANNE,1998,1.0,5,110524,0,110524,"Office, Other, Parking",Office,8634.0,0.0,6859198.0,0.0,6859197.0,0.0,Multi_usage
742,2016,NonResidential,Mixed Use Property,LAKE_UNION,2008,1.0,5,287224,103650,183574,"Data Center, Office, Other, Parking",Parking,88051.0,54106.0,21042926.0,0.0,17407502.0,3635421.0,Multi_usage
743,2016,NonResidential,Laboratory,LAKE_UNION,1999,1.0,4,115748,18382,97366,Laboratory,Laboratory,,,36436388.0,0.0,16913185.0,19523202.0,Mono_usage
744,2016,NonResidential,Large Office,MAGNOLIA_QUEENANNE,2000,1.0,7,241875,84689,157186,"Office, Parking",Office,83425.0,,8655604.0,0.0,8488392.0,167210.0,Multi_usage
745,2016,NonResidential,Large Office,MAGNOLIA_QUEENANNE,1974,1.0,5,102930,18720,84210,"Office, Parking",Office,15164.0,,4750799.0,0.0,4059275.0,691523.0,Multi_usage
748,2016,NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1902,1.0,3,76893,0,76893,"Office, Parking, Retail Store",Office,33380.0,15845.0,12029600.0,0.0,8209260.0,3820339.0,Multi_usage
749,2016,NonResidential,Large Office,DOWNTOWN,1975,1.0,8,150000,23630,126370,"Office, Parking",Office,23913.0,,9343428.0,0.0,8155743.0,1187684.0,Multi_usage
750,2016,NonResidential,Large Office,DOWNTOWN,1953,1.0,7,274362,0,274362,Office,Office,,,16540550.0,0.0,15836054.0,704494.0,Mono_usage
751,2016,NonResidential,Large Office,DOWNTOWN,1983,1.0,15,378002,116280,261722,"Office, Parking",Office,71602.0,,17750994.0,0.0,15083312.0,2667680.0,Multi_usage
752,2016,NonResidential,Large Office,DOWNTOWN,1963,1.0,11,169020,0,169020,"Bar/Nightclub, Office, Personal Services (Health/Beauty, Dry Cleaning, etc)",Office,10337.0,8208.0,11480494.0,2887565.25,7209495.0,1383432.0,Multi_usage
775,2016,NonResidential,Large Office,DOWNTOWN,1985,1.0,76,1952220,319400,1632820,"Office, Parking",Office,319368.0,,92937640.0,0.0,87851862.0,5085763.0,Multi_usage
754,2016,NonResidential,Large Office,DOWNTOWN,1981,1.0,19,383515,89778,293737,"Medical Office, Office, Parking",Office,84800.0,18799.0,15878689.0,0.0,15878687.0,0.0,Multi_usage
755,2016,NonResidential,Medical Office,DOWNTOWN,1925,1.0,18,363934,28870,335064,"Medical Office, Parking, Retail Store",Medical Office,27597.0,21519.0,22104512.0,6090187.5,16002341.0,11981.0,Multi_usage
756,2016,NonResidential,Retail Store,DOWNTOWN,1929,1.0,4,78920,0,78920,Retail Store,Retail Store,,,8303666.5,0.0,7177346.0,1126320.0,Mono_usage
757,2016,NonResidential,Large Office,DOWNTOWN,1979,1.0,7,131143,87160,43983,"Office, Retail Store",Office,10853.0,,5177270.5,0.0,4871126.0,1416041.0,Multi_usage
758,2016,NonResidential,Other,DOWNTOWN,1999,1.0,0,947987,0,947987,"Office, Other - Entertainment/Public Assembly, Other - Mall, Restaurant",Other - Mall,100000.0,80000.0,46510960.0,0.0,46510954.0,0.0,Multi_usage
759,2016,NonResidential,Mixed Use Property,EAST,1908,1.0,4,55520,0,55520,"Office, Performing Arts, Restaurant, Retail Store, Self-Storage Facility",Office,15300.0,13400.0,3686962.25,0.0,973907.0,2713055.0,Multi_usage
760,2016,NonResidential,Large Office,DOWNTOWN,1908,1.0,10,132998,0,132998,"Office, Retail Store",Office,0.0,,3775187.5,1530680.625,2244507.0,0.0,Multi_usage
761,2016,NonResidential,Retail Store,DOWNTOWN,1940,1.0,3,83118,0,83118,Retail Store,Retail Store,,,2443141.5,0.0,2209419.0,233722.0,Mono_usage
762,2016,NonResidential,Retail Store,DOWNTOWN,1924,1.0,3,77555,0,77555,Retail Store,Retail Store,,,7802205.5,0.0,7802052.0,153.0,Mono_usage
763,2016,NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1909,1.0,6,51218,0,51218,"Office, Restaurant",Office,7044.0,,2886141.5,0.0,2886141.0,0.0,Multi_usage
764,2016,NonResidential,Large Office,DOWNTOWN,1970,1.0,29,489182,0,489182,"Office, Other - Restaurant/Bar, Other - Technology/Science, Parking",Office,65451.0,9295.0,36378588.0,0.0,32633842.0,3744742.0,Multi_usage
765,2016,NonResidential,Large Office,DOWNTOWN,1929,1.0,27,216571,13320,203251,"Office, Other - Technology/Science, Parking",Office,13320.0,6246.0,16246106.0,7413886.0,8704772.0,127447.0,Multi_usage
766,2016,NonResidential,Large Office,DOWNTOWN,1921,1.0,13,189175,0,189175,"Office, Other",Office,12645.0,,19036416.0,0.0,19036413.0,0.0,Multi_usage
767,2016,NonResidential,Large Office,DOWNTOWN,1998,1.0,13,293803,74481,219322,"Office, Parking",Office,70603.0,,17074142.0,0.0,17074139.0,0.0,Multi_usage
768,2016,NonResidential,Large Office,DOWNTOWN,1910,1.0,7,122356,0,122356,"Data Center, Office, Retail Store",Office,15523.0,182.0,4585070.5,0.0,4371815.0,213255.0,Multi_usage
769,2016,NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1921,1.0,3,52298,0,52298,Office,Office,,,1968655.125,0.0,1968655.0,0.0,Mono_usage
771,2016,NonResidential,Large Office,DOWNTOWN,1911,1.0,17,116640,0,116640,"Financial Office, Food Service, Office, Other",Office,6561.0,6333.0,6758565.5,1736650.625,5021914.0,0.0,Multi_usage
772,2016,NonResidential,Large Office,DOWNTOWN,1981,1.0,42,1249055,201121,1047934,"Data Center, Medical Office, Office, Parking, Restaurant",Office,296815.0,12941.0,37980712.0,0.0,37980705.0,0.0,Multi_usage
776,2016,NonResidential,Medical Office,EAST,1988,1.0,5,188339,99314,89025,"Medical Office, Parking",Medical Office,67000.0,,8523594.0,0.0,7873601.0,649993.0,Multi_usage
777,2016,NonResidential,University,CENTRAL,1916,1.0,2,60122,0,60122,"College/University, Parking",College/University,0.0,,690529.5,0.0,593029.0,97500.0,Multi_usage
778,2016,NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1910,1.0,6,95000,13700,81300,"Office, Parking",Office,8474.0,,4052720.0,0.0,3983832.0,68888.0,Multi_usage
779,2016,NonResidential,Large Office,DOWNTOWN,1971,1.0,9,224857,0,224857,Office,Office,,,15272491.0,4047481.0,11225008.0,0.0,Mono_usage
780,2016,NonResidential,Large Office,DOWNTOWN,1998,1.0,8,446261,124788,321473,"Office, Parking",Office,114237.0,,13568148.0,0.0,13568146.0,0.0,Multi_usage
782,2016,NonResidential,Other,GREATER_DUWAMISH,1939,1.0,2,58492,0,58492,Other,Other,,,1594422.5,0.0,717806.0,876616.0,Mono_usage
783,2016,NonResidential,Small- and Mid-Sized Office,GREATER_DUWAMISH,1907,1.0,6,62370,0,62370,"Office, Restaurant",Office,10408.0,,4353025.0,0.0,4353024.0,0.0,Multi_usage
784,2016,NonResidential,Warehouse,GREATER_DUWAMISH,1960,1.0,1,73296,0,73296,"Non-Refrigerated Warehouse, Parking",Non-Refrigerated Warehouse,0.0,,2356376.75,0.0,1117577.0,1238800.0,Multi_usage
785,2016,Nonresidential COS,Other,GREATER_DUWAMISH,1944,1.0,4,99122,0,99122,"Office, Other",Other,49086.0,,14469228.0,0.0,12766128.0,1703098.0,Multi_usage
786,2016,NonResidential,Other,GREATER_DUWAMISH,1985,1.0,1,66133,0,66133,"Non-Refrigerated Warehouse, Office, Other",Other,13805.0,2408.0,6345009.5,0.0,5354420.0,990589.0,Multi_usage
787,2016,NonResidential,Warehouse,GREATER_DUWAMISH,1952,1.0,2,115668,0,115668,"Data Center, Non-Refrigerated Warehouse, Office, Retail Store",Non-Refrigerated Warehouse,8068.0,4270.0,3534690.75,0.0,1657935.0,1876755.0,Multi_usage
791,2016,NonResidential,Other,GREATER_DUWAMISH,1970,1.0,1,141686,0,141686,Other,Other,,,6673138.0,0.0,6673137.0,0.0,Mono_usage
792,2016,NonResidential,Small- and Mid-Sized Office,GREATER_DUWAMISH,1950,1.0,1,93610,0,93610,"Data Center, Office",Office,502.0,,6235947.0,0.0,3877758.0,2358189.0,Multi_usage
793,2016,NonResidential,Large Office,GREATER_DUWAMISH,1973,1.0,2,156188,0,156188,"Office, Parking",Office,0.0,,6843855.0,0.0,6557481.0,286373.0,Multi_usage
794,2016,NonResidential,Warehouse,GREATER_DUWAMISH,1966,1.0,1,115620,0,115620,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,,,1951856.25,0.0,1951856.0,0.0,Mono_usage
796,2016,NonResidential,Large Office,GREATER_DUWAMISH,1975,1.0,5,238148,0,238148,"Office, Parking",Office,5616.0,5616.0,10775646.0,0.0,10775645.0,0.0,Multi_usage
797,2016,NonResidential,Distribution Center,GREATER_DUWAMISH,1969,1.0,1,71718,0,71718,Distribution Center,Distribution Center,,,151754.2969,0.0,151754.0,0.0,Mono_usage
798,2016,NonResidential,Warehouse,GREATER_DUWAMISH,1969,1.0,1,55450,0,55450,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,21244.0,,4345698.0,0.0,2149197.0,2196501.0,Multi_usage
799,2016,NonResidential,Distribution Center,GREATER_DUWAMISH,1979,1.0,1,54880,0,54880,Distribution Center,Distribution Center,,,2763597.0,0.0,1240788.0,1522809.0,Mono_usage
800,2016,NonResidential,Retail Store,DELRIDGE,1992,1.0,1,102500,0,102500,"Parking, Retail Store",Retail Store,0.0,,7305474.0,0.0,4972873.0,2332600.0,Multi_usage
801,2016,NonResidential,Other,NORTHEAST,2002,1.0,6,361398,272900,88498,"Non-Refrigerated Warehouse, Other, Parking, Retail Store",Parking,63419.0,15757.0,8915523.0,0.0,7663584.0,1251938.0,Multi_usage
802,2016,NonResidential,Supermarket / Grocery Store,GREATER_DUWAMISH,1963,1.0,1,50785,0,50785,Supermarket/Grocery Store,Supermarket/Grocery Store,,,7439009.0,0.0,4327325.0,3111684.0,Mono_usage
803,2016,NonResidential,Small- and Mid-Sized Office,DELRIDGE,1929,1.0,3,85126,0,85126,Office,Office,,,37951708.0,0.0,18610055.0,685132.0,Mono_usage
804,2016,NonResidential,Other,NORTH,2000,1.0,5,303255,19820,283435,"Other, Parking, Restaurant, Retail Store",Parking,298043.0,5636.0,11077140.0,0.0,10602152.0,474987.0,Multi_usage
805,2016,NonResidential,Distribution Center,GREATER_DUWAMISH,1986,1.0,1,411584,0,411584,"Distribution Center, Non-Refrigerated Warehouse, Refrigerated Warehouse",Distribution Center,83683.0,35760.0,15091579.0,0.0,7501894.0,7589685.0,Multi_usage
806,2016,NonResidential,Mixed Use Property,DOWNTOWN,1902,1.0,4,73320,0,73320,"Non-Refrigerated Warehouse, Office, Retail Store",Non-Refrigerated Warehouse,23277.0,6540.0,1141189.75,0.0,681682.0,459508.0,Multi_usage
